Time Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCM06_N.B,RIFLGFCY01_N.B,RIFLGFCY02_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY07_N.B,RIFLGFCY10_N.B,RIFLGFCY20_N.B,RIFLGFCY30_N.B
1/2/1962,,,,3.22,,3.7,3.88,,4.06,,
1/3/1962,,,,3.24,,3.7,3.87,,4.03,,
1/4/1962,,,,3.24,,3.69,3.86,,3.99,,
1/5/1962,,,,3.26,,3.71,3.89,,4.02,,
1/8/1962,,,,3.31,,3.71,3.91,,4.03,,
1/9/1962,,,,3.32,,3.74,3.93,,4.05,,
1/10/1962,,,,3.33,,3.75,3.94,,4.07,,
1/11/1962,,,,3.33,,3.77,3.94,,4.08,,
1/12/1962,,,,3.3,,3.76,3.95,,4.08,,
1/15/1962,,,,3.32,,3.79,3.96,,4.1,,
1/16/1962,,,,3.3,,3.81,3.98,,4.13,,
1/17/1962,,,,3.3,,3.81,3.97,,4.12,,
1/18/1962,,,,3.27,,3.79,3.96,,4.11,,
1/19/1962,,,,3.27,,3.78,3.95,,4.11,,
1/22/1962,,,,3.25,,3.76,3.93,,4.09,,
1/23/1962,,,,3.25,,3.77,3.94,,4.11,,
1/24/1962,,,,3.24,,3.76,3.93,,4.1,,
1/25/1962,,,,3.27,,3.77,3.94,,4.11,,
1/26/1962,,,,3.28,,3.8,3.97,,4.11,,
1/29/1962,,,,3.28,,3.8,3.98,,4.12,,
1/30/1962,,,,3.28,,3.8,3.98,,4.11,,
1/31/1962,,,,3.29,,3.81,3.99,,4.1,,
2/1/1962,,,,3.3,,3.81,4,,4.09,,
2/2/1962,,,,3.3,,3.77,3.97,,4.08,,
2/5/1962,,,,3.29,,3.77,3.96,,4.07,,
2/6/1962,,,,3.29,,3.77,3.96,,4.06,,
2/7/1962,,,,3.29,,3.77,3.95,,4.07,,
2/8/1962,,,,3.3,,3.75,3.93,,4.07,,
2/9/1962,,,,3.28,,3.73,3.91,,4.05,,
2/12/1962,,,,ND,,ND,ND,,ND,,
2/13/1962,,,,3.28,,3.72,3.91,,4.03,,
2/14/1962,,,,3.31,,3.71,3.9,,4.03,,
2/15/1962,,,,3.33,,3.71,3.9,,4.02,,
2/16/1962,,,,3.33,,3.69,3.88,,4.02,,
2/19/1962,,,,3.32,,3.67,3.86,,4.01,,
2/20/1962,,,,3.31,,3.67,3.88,,4.05,,
2/21/1962,,,,3.28,,3.64,3.86,,4.03,,
2/22/1962,,,,ND,,ND,ND,,ND,,
2/23/1962,,,,3.24,,3.6,3.83,,4.02,,
2/26/1962,,,,3.22,,3.58,3.8,,4,,
2/27/1962,,,,3.23,,3.57,3.8,,4.01,,
2/28/1962,,,,3.21,,3.53,3.77,,4,,
